Water CM: 96 | Status: SAFE
Water CM: 96 | Status: SAFE
Water CM: 96.3 | Status: CAUTION
Water CM: 96.3 | Status: CAUTION
Water CM: 96 | Status: SAFE
Water CM: 96.3 | Status: CAUTION
Water CM: 96 | Status: SAFE
Water CM: 96 | Status: SAFE
Water CM: 96.3 | Status: CAUTION
Water CM: 96 | Status: SAFE
Water CM: 96 | Status: SAFE
Water CM: 96.3 | Status: CAUTION
Water CM: 96 | Status: SAFE
Water CM: 96 | Status: SAFE
Water CM: 96 | Status: SAFE
Water CM: 96 | Status: SAFE
Water CM: 96 | Status: SAFE
Water CM: 96 | Status: SAFE
Water CM: 96.2 | Status: CAUTION
Water CM: 96 | Status: SAFE
Water CM: 96.2 | Status: CAUTION
Water CM: 96.3 | Status: CAUTION
Water CM: 96.2 | Status: CAUTION
Water CM: 96 | Status: SAFE
Water CM: 96 | Status: SAFE
Water CM: 96.1 | Status: SAFE
Water CM: 96.2 | Status: CAUTION
Water CM: 96 | Status: SAFE
Water CM: 96.2 | Status: CAUTION
Water CM: 96.3 | Status: CAUTION
Water CM: 96 | Status: SAFE
Water CM: 96.1 | Status: SAFE
Water CM: 96.3 | Status: CAUTION
Water CM: 96 | Status: SAFE
Water CM: 96 | Status: SAFE
Water CM: 96.1 | Status: SAFE
Water CM: 96.2 | Status: CAUTION
Water CM: 96 | Status: SAFE
Water CM: 96.1 | Status: CAUTION
Water CM: 96.3 | Status: CAUTION
Water CM: 96 | Status: SAFE
Water CM: 96.2 | Status: CAUTION
Water CM: 96.2 | Status: CAUTION
Water CM: 96 | Status: SAFE
Water CM: 96.2 | Status: CAUTION
Water CM: 96.3 | Status: CAUTION
Water CM: 96.2 | Status: CAUTION
Water CM: 96.2 | Status: CAUTION
Water CM: 96.2 | Status: CAUTION
Water CM: 96.2 | Status: CAUTION
Water CM: 96.3 | Status: CAUTION
Water CM: 96 | Status: SAFE
Water CM: 96 | Status: SAFE
Water CM: 96 | Status: SAFE
Water CM: 96 | Status: SAFE
Water CM: 96.3 | Status: CAUTION
Water CM: 96.3 | Status: CAUTION
Water CM: 96 | Status: SAFE
Water CM: 96.2 | Status: CAUTION
Water CM: 96 | Status: SAFE
Water CM: 96 | Status: SAFE
Water CM: 96 | Status: SAFE
Water CM: 96 | Status: SAFE
Water CM: 96 | Status: SAFE
Water CM: 96.2 | Status: CAUTION
Water CM: 96.3 | Status: CAUTION
Water CM: 96.3 | Status: CAUTION
Water CM: 96.2 | Status: CAUTION
Water CM: 96.3 | Status: CAUTION
Water CM: 96.1 | Status: SAFE
Water CM: 96.3 | Status: CAUTION
Water CM: 96.4 | Status: CAUTION
Water CM: 96.1 | Status: SAFE
Water CM: 96.1 | Status: SAFE
Water CM: 96.2 | Status: CAUTION
Water CM: 96.1 | Status: SAFE
Water CM: 96.1 | Status: SAFE
